,cytoID,Hematoxylin_Mean_nuclei,Hematoxylin_Std_dev_nuclei,Hematoxylin_Min_nuclei,Hematoxylin_Max_nuclei,Hematoxylin_Median_nuclei,Eosin_Mean_nuclei,Eosin_Std_dev_nuclei,Eosin_Min_nuclei,Eosin_Max_nuclei,Hue_Mean_nuclei,Saturation_Mean_nuclei,Saturation_Std_dev_nuclei,Saturation_Min_nuclei,Saturation_Max_nuclei,Saturation_Median_nuclei,Eosin_Median_nuclei,Area_µm^2_nuclei,Length_µm_cyto,Circularity_cyto,Solidity_cyto,Max_diameter_µm_cyto,Min_diameter_µm_cyto,Perimeter_µm_cyto,Hematoxylin_Mean_cytoonly,Hematoxylin_Std_dev_cytoonly,Hematoxylin_Min_cytoonly,Hematoxylin_Max_cytoonly,Hematoxylin_Median_cytoonly,Eosin_Mean_cytoonly,Eosin_Std_dev_cytoonly,Eosin_Min_cytoonly,Eosin_Max_cytoonly,Hue_Mean_cytoonly,Saturation_Mean_cytoonly,Saturation_Std_dev_cytoonly,Saturation_Min_cytoonly,Saturation_Max_cytoonly,Saturation_Median_cytoonly,Eosin_Median_cytoonly,Area_µm^2_cytoonly
990,1044,0.5079,0.193,0.0262,0.9619,0.5055,0.5926,0.4317,0.009,1.6427,0.2747,0.7607,0.1839,0.0667,1.0,0.7835,0.4385,58.2177,54.2137,0.3509,0.8096,13.6338,8.6527,54.21,0.1492,0.1699,-0.0013,0.942,0.0725,0.1534,0.2453,-0.0087,1.6183,0.2991,0.2972,0.2264,0.0161,1.0,0.2095,0.0745,23.9469
991,782,0.5687,0.177,0.1301,0.988,0.5815,0.6371,0.4268,0.0379,1.5955,0.2699,0.7971,0.1634,0.2932,1.0,0.8255,0.4925,33.5304,35.8702,0.7955,0.9867,10.7594,9.7202,35.87,0.162,0.0807,0.0206,0.8313,0.1475,0.0708,0.1214,0.0105,1.5913,0.259,0.2511,0.1085,0.0126,1.0,0.2285,0.0525,47.9205
992,219,0.3804,0.1105,0.0307,0.7786,0.3745,0.363,0.1648,0.0146,1.6257,0.2812,0.6766,0.1323,0.1639,1.0,0.6775,0.3315,63.3997,43.8091,0.5325,0.953,12.3585,8.7736,43.81,0.1943,0.1406,0.0094,0.7236,0.1495,0.196,0.1792,0.0115,1.6091,0.2933,0.4092,0.2219,0.0575,1.0,0.3705,0.1325,17.925
993,864,0.5435,0.1454,0.0247,0.959,0.5445,0.6022,0.3631,-0.0299,1.6729,0.274,0.8047,0.139,0.021,1.0,0.8205,0.5015,62.0737,42.1663,0.5729,0.9626,11.0677,10.0135,42.17,0.0794,0.1231,-0.0189,0.9138,0.0395,0.0683,0.1698,-0.0299,1.6341,0.3076,0.1302,0.182,0.0,1.0,0.0625,0.0305,19.026
994,249,1.3132,0.329,0.225,4.1867,1.3375,0.7069,0.3383,-0.9374,1.3153,0.2171,0.9319,0.1123,0.2298,1.0,0.9715,0.7005,42.9864,45.7257,0.4839,0.9483,13.5644,8.467,45.73,0.2315,0.1809,0.0056,1.872,0.1995,0.0219,0.0603,-0.1982,1.1189,0.2319,0.2529,0.1369,0.008,1.0,0.2535,0.0145,37.5314
995,430,0.3458,0.1071,0.0593,0.7381,0.3375,0.3182,0.1343,0.0291,1.6553,0.2824,0.6392,0.1267,0.1488,1.0,0.6395,0.2955,54.6911,45.1781,0.4956,0.9506,13.1655,9.0574,45.18,0.1747,0.1403,0.0231,0.6589,0.1335,0.1842,0.2047,0.0192,1.6553,0.3009,0.3701,0.2337,0.0476,1.0,0.3435,0.1085,25.8432
996,384,0.5004,0.1902,0.1487,1.0492,0.4685,0.4232,0.3589,-0.0067,1.5529,0.2619,0.6887,0.1974,0.2445,1.0,0.6955,0.3125,46.8491,41.3448,0.5911,0.9759,10.6356,10.042,41.34,0.2245,0.0549,0.022,0.5226,0.2355,0.0412,0.022,-0.0235,0.262,0.2353,0.2861,0.0616,0.0206,0.6746,0.2995,0.0385,33.5565
997,391,0.5485,0.1791,-0.0011,2.1422,0.5275,0.5145,0.3426,-0.0697,1.6456,0.2673,0.7696,0.1469,0.0235,1.0,0.7745,0.4085,68.4041,40.5234,0.6113,0.9741,10.6675,9.9443,40.52,0.1712,0.2077,-0.0146,1.1227,0.0875,0.1237,0.2424,-0.0563,1.6456,0.2694,0.2595,0.2591,0.0,1.0,0.1665,0.0345,11.4759
998,775,0.4747,0.1176,0.1094,0.9621,0.4705,0.3757,0.1984,-0.0523,1.5509,0.2673,0.7155,0.1318,0.1477,1.0,0.7305,0.3535,64.7237,41.3448,0.5867,0.9756,11.2938,9.4287,41.34,0.2425,0.1098,0.0233,0.814,0.2325,0.057,0.1181,-0.0523,1.5198,0.2298,0.3318,0.1626,0.0121,1.0,0.2855,0.0105,15.0821
999,293,0.347,0.1195,0.0243,0.662,0.3715,0.2639,0.0827,0.0994,0.6208,0.2786,0.5991,0.1314,0.2331,0.8904,0.6295,0.2655,55.3482,42.7139,0.5415,0.9656,11.6272,9.3986,42.71,0.1139,0.077,0.0276,0.517,0.0885,0.1037,0.0397,0.0395,0.4278,0.303,0.2734,0.1173,0.0812,0.761,0.2585,0.0945,23.2771
1000,1068,0.7401,0.1942,0.1245,2.4648,0.7435,0.7153,0.3787,-0.0293,1.5367,0.2566,0.8704,0.1216,0.2208,1.0,0.9055,0.6305,67.7944,41.071,0.5849,0.9733,10.9182,9.4287,41.07,0.2026,0.2523,-0.0056,2.4648,0.1245,0.0733,0.1517,-0.072,1.476,0.2574,0.2587,0.214,0.0,1.0,0.2135,0.0385,10.7217
1001,1019,0.2155,0.0414,0.0301,0.38,0.2155,-0.0177,0.015,-0.0635,0.0353,0.205,0.2632,0.0371,0.0124,0.371,0.2685,0.0,60.8861,43.2615,0.5226,0.9472,11.5987,9.832,43.26,0.0926,0.0595,0.0085,0.3447,0.0815,0.0227,0.0288,-0.0384,0.1493,0.2579,0.1314,0.0867,0.0,0.3645,0.1265,0.0165,16.9517
